location	locationToSearch	locationAdress
Sala Nezahualcóyotl	Sala Nezahualcóyotl	Centro Cultural Universitario, Insurgentes Sur 3000, CU
Sala Julio Bracho	Sala Julio Bracho	Centro Cultural Universitario, Insurgentes Sur 3000, CU
Corredor del Arte, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Museo del Chopo, Galería Helen Escobedo	Museo del Chopo, Galería Helen Escobedo	Dr. Enrique González Martínez no. 10, col. Santa María la Ribera
Sala Lumiére, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Salón de Danza	Salón de Danza	Centro Cultural Universitario, Insurgentes Sur 3000, CU
Salon José Emilio Pacheco, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Sala Carlos Monsiváis	Sala Carlos Monsiváis	Centro Cultural Universitario, CU
Auditorio Alfonso García Robles, CCU Tlatelolco	Auditorio Alfonso García Robles, CCU Tlatelolco	Flores Magón, núm. 1, Col. Nonoalco Tlatelolco
Descarga Cultura	Descarga Cultura	www.descargacultura.unam.mx
Salón el Generalito	Antiguo Colegio de San Ildefonso	Antiguo Colegio de San Idelfonso Justo Sierra 16, Centro Histórico
Cinematógrafo del Chopo	Cinematógrafo del Chopo	Dr. Atl 37, Santa María la Ribera
Anfiteatro Simón Bolívar	Anfiteatro Simón Bolívar	Antiguo Colegio de San Ildefonso, Justo Sierra 16, Centro Histórico
Centro de información	Museo del Chopo	Museo del Chopo
Salón Juárez. CCU Tlateloloco	Centro Cultural Universitario Tlatelolco (CCUT)	Flores Magón, núm. 1, Col. Nonoalco Tlatelolco
Galería del lago I, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Interior del Bosque de Chapultepec, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
ACSI Salas de exposiciones, Planta Baja	Antiguo Colegio de San Ildefonso	Justo Sierra 16, Col. Centro, México D.F.
Galería del lago II, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Terraza, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Sala José Revueltas	Sala José Revueltas	Centro Cultural Universitario, Insurgentes Sur 3000, CU
ACSI Salas de exposiciones, Primer Nivel	Antiguo Colegio de San Ildefonso	Justo Sierra 16, Col. Centro, México D.F.
Museo del Chopo, Galería Arnold Belkin	Museo del Chopo, Galería Arnold Belkin	Dr. Enrique González Martínez no. 10, col. Santa María la Ribera
Galería Nacho López, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
ACSI Sala Octavio Paz	Antiguo Colegio de San Ildefonso	Justo Sierra 16, Col. Centro, México D.F.
Museo del Chopo, Libro Club	Museo del Chopo, Libro Club	Dr. Enrique González Martínez no. 10, col. Santa María la Ribera
Sala Carlos Chávez	Sala Carlos Chávez	Centro Cultural Universitario, Insurgentes Sur 3000, CU
Foro del Dinosaurio Juan José Gurrola	Foro del Dinosaurio Juan José Gurrola	Museo Universitario del Chopo Dr. Enrique González Martínez no. 10, Col. Santa Ma. la Ribera
Sala de exposiciones temporales, Col. Blaisten	Centro Cultural Universitario Tlatelolco (CCUT)	Flores Magón, núm. 1, Col. Nonoalco Tlatelolco
Explanada, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Museo del Chopo, Galerías Rampas	Museo del Chopo, Galerías Rampas	Dr. Enrique González Martínez no. 10, col. Santa María la Ribera
Jardines, Casa del Lago	Casa del Lago	Antiguo Bosque de Chapultepec 1a sección, CP: 11850, México D.F
Aula 1 del Museo del Chopo	Aula 1 del Museo del Chopo	Museo Universitario del Chopo Dr. Enrique González Martínez no. 10, Col. Santa Ma. la Ribera
Aula 3 del Museo del Chopo	Aula 3 del Museo del Chopo	Museo Universitario del Chopo Dr. Enrique González Martínez no. 10, Col. Santa Ma. la Ribera
